Artiste,Annee,Album,Url,Style,test
Mac Miller,2009,The High Life,https://www.azlyrics.com/lyrics/macmiller/classpresident.html,rap,Look coming with the flows of a veteran Mac class president All black letterman recognize a gentleman Know anything but formal take you out the normal Its time travel here step into my portal Never seem to be another ordinary college fellow Still keep a bunch of action figure Donatellos I used to wet my pants leave the carpet yellow Now Im playing games with hoes turn they hearts to jello quotLquot rolled from my wrist to my elbow Hella smoke got my eyes red like Elmo Music that I make got me buzzing like a cellphone Sticking to my word now Im Velcro hell no I aint gone stop one minute better than I ever been Before it was just a scrimmage no the boy playing for the cup Its a championship see the word play dance from his lips All my ladies put ya hands on ya hips here some candy to lick Come and holla if ya man is a bitch Every party that I roll to they demand me to spit Treat me like Im Peyton Manning in this Player I dont got no time for the slow grind here in 09 Blow minds with these dope rhymes call them coke lines Snort it get distorted Im taking you out of orbit Plus we pippin champagne see the cork twist Purple piff got me higher than a forklift Hungry feed it like my mother got four tits Im living in this music you a tourist Rocky and Bullwinkle you just Boris Boy spit still way sharper than a swordfish Yo whole style just dead like a morgue is Im a senior but I stay fresh man Class president never wouldve guess man Bitches on me that I aint never met man The only thing thats on yo dick is ya left hand Wolverine nails signing on the X Man They dont hear me up in Def Jam   
Post Malone,2016,Stoney,https://www.azlyrics.com/lyrics/postmalone/cold.html,rap,Yeah my wrist so cold and my ice on froze And its all for you Yeah my ice so cold and my wrist on froze Yeah its all for you Yeah my wrist so cold and my ice on froze Yeah Id die for you Yeah my ice so cold and my wrist on froze Yeah Id die for you  Yeah stuntin its satisfyin but it dont bring you closure Diamonds my state of mind Im drownin in the ocean Just stay right where you are and dont come any closer Im just gon handle mine and just maintain composure People they say learn from mistakes yeah You keep your space yeah but all this pain yeah You say you go away yeah still hit my lane though You hurt so bad when you went away yeah I needed you needed you So what the fuck do I do I needed you needed you So what the fuck do I do  Oh my God oh my God A lot of bullshit on my mind Oh my God oh my God I think about you all the time Oh my God oh my God And I dont care bout no money Leave a knot up in my throat Now Im counting on my own  Yeah my wrist so cold and my ice on froze And its all for you Yeah my ice so cold and my wrist so froze Yeah its all for you Yeah my wrist so cold and my ice on froze Yeah Id die for you Yeah my ice so cold and my wrist on froze Yeah Id die for you  My jewelry on like an ice cube And all I wanna do is just ignite you This Saint Laurent mama you look nice too Cant hold my tongue dont got the heart too Remember when I fell in love I just came up alone Remember aim three my fault Told that bad bitch get on my Vlone Hey dont have much to do yeah Everything is ruined Aint no secret to it Thrown the check like a Nike I just do it  Oh my God oh my God A lot of bullshit on my mind Oh my God oh my God I think about you all the time Oh my God oh my God And I dont care bout no money Leave a knot up in my throat Now Im counting on my own  Yeah my wrist so cold and my ice on froze And its all for you Yeah my ice so cold and my wrist so froze Yeah its all for you Yeah my wrist so cold and my ice on froze Yeah Id die for you Yeah my ice so cold and my wrist on froze Yeah Id die for you   
Slipknot,2008,All Hope Is Gone,https://www.azlyrics.com/lyrics/slipknot/butchershook.html,metal,Contrite  Commercial  Arrogance  Leprosy Consume The Bitch  The Fucker  Mindless  Like A Child For Pitys Sake  Ive Had All That I Can Take We Try  But In The End Well See There Are No More Codes Only Who Is Shit  And Whos Still Free I was gonna change the world with Honor and Aggression No one listened  no one cared All they saw was misdirection  GO AHEAD AND DISAGREE  Im giving up again  I DONT WANT YOU ANYMORE I DONT NEED YOU ANYMORE Fingerprint of God  Your new religions covet This vessel wasnt built to last But I will live forever youll never have to say surrender Because youre so part of it My total honesty has no place for Tomorrow Guilty pleasures give me pain Tell my people I CANT FOLLOW  GO AHEAD AND DISAGREE  Im giving up again  Youll never CENSOR me  Youd better CHERISH me My REASON has a voice  Freedoms gone but well always have a CHOICE My PRESENT FUTURE TENSE  It doesnt make much SENSE Im coming after you  FUCK YOU ALL IM THE ONLY POINT OF VIEW  Violence and Dollar Signs  Another processed piece of shit You hide your fault in DIAMONDS and give away the only COST  you cant delay the inevitable LOST  dont understand the incredible path Im losing ground  but I wont care when I go down  GO AHEAD AND DISAGREE  Im giving up again  IM GIVING UP AGAIN   
Eminem,2017,Revival,https://www.azlyrics.com/lyrics/eminem/remindme.html,rap,iEminemi Yo I bust in devilish grin disgustin Asshole freckled cheeks and a butt chin Calling all party animals get On the floor when I pop up on some WhackAMole shit In search of a chick who stacked them so thick And implants are so big She can hang me up on that rack big ol tits Like Anna Nicole Smith Bodys bananas and sass to go wit I spot you at first glance and go quotshitquot You wearin those pants that dont fit That butt wont ever give up Thats why you stick it out no matter what Cause you got an ass that wont quit So get on the horn my saxophone Grab hold of my instrument get a grasp and blow You just laugh and go heehee Cause youre just as nasty so thats appropriate Thats why  iEminem Joan Jett and the Blackheartsi I love you cause you remind me of me Thats why I love you cause youre like me yeah me I said I love you cause you remind me of me Thats why I love you cause youre like me nasty yeah me  iEminemi You know Im wearin a new shirt tonight too yo With me on it  Im lookin at your tight rear like a sightseer Your booty is heavy duty like diarrhea The plans to bring you to my house Youre drinkin Jack and Beam Im thinkin soon as trampolines so we should bounce But youre out of your tubetop If youre thinkin that mi casa es su casa Yeah youre a cute fox Perfect ten so back that up like a moonwalk Girl youre smokin like Snoop Dogg But you must be Token if you think youre takin over my quarters There goes the dime into the jukebox Two shots of blue Hpnotiq and soon Ill Turn this pool hall to a barroom brawl So Rick scratch on the break like the cue ball Turn the volume all the way up on your boombox And excuse the locker room talk Im just too raw But apparently so are you ma Cause you just kicked me in the balls and told me to screw off And thats why  iEminem Joan Jett and the Blackheartsi I love you cause you remind me of me Thats why I love you cause youre like me yeah me I said I love you cause you remind me of me Thats why I love you cause youre like me nasty yeah me  Said can I take you home where we can be alone Shorty you the shit Girl I ordered you to sit I know youre probably feelin me more than you admit Pull up a chair sweetie let me order you a drink I only go to meetings courtordered from a shrink So from the bottom to the top floor to ceiling You aint run of the mill youre one in a million Cause real tits are still fun But everybody knows fake tits are still better than real ones  iEminemi So come and spend the night with the guy most are terrified of But tonight curiosity overrides ya Besides youre fire I love like a starter pistol Crystal and slides huns tonight Im your pilot Cause you should be up in the sky girl Youre so fucking fly you belong in the mile high club So come on baby the nights young Dont string me along Im highstrung We might wind it up unbound like were trying for the Cy Young Fuckin fore we get to the house screwin our brains out Like changing a lightbulb Thats why I like ya cause Im crazy just like ya Now every time I get brain you screw mine up I barely can think straight your head game is a mindfuck So ready set aim and fire Yes babe Im fallin in likeness kinda why I love  iEminem Joan Jett and the Blackheartsi I love you cause you remind me of me Thats why I love you cause youre like me yeah me I said I love you cause you remind me of me Thats why I love you cause youre like me nasty yeah me   
Eminem,2013,The Marshall Mathers LP 2,https://www.azlyrics.com/lyrics/eminem/somuchbetter.html,rap,You fucking groupie pick up the goddamn phone  Bitch where the fuck were you Tuesday With who you say I wasnt at the studio bitch whatcha do screw Dre You went there looking for me Boo that excuse is too lame Keep playin me you gon end up with a huge goose egg You fake lyin slut you never told me you knew Drake And Lupe you wanna lose two legs You tryin to flip this on me If I spent more time with you you say OK yeah and Im coocoo ay Well screw you and Ill be the third person who screwed you today Oh fourth Dre Drake Lupe oohm touche Well youre too twofaced for me thought you was my number one true blue ace But you aint And I cant see you when you make that wittle booboo face Cause Im hangin up this phone boo you make my fuckin blue tooth ache You feelin blue too late Go smurf yourself you make me wanna smurf and puke blue Kool Aid Heres what you say to someone you hate  My life would be so much better if youd just drop dead I was layin in bed last night thinkin and this thought just popped in my head And I thought wouldnt shit just be a lot easier if you dropped dead I would feel so much better  Think I just relapsed this bitch pushed me over the brink Hop on the freeway tryin to get some time alone and just think Till the cops pulled me over but they let me go cause I told em Im only drivin drunk cause that bitch drove me to drink Im back on my fuck hoes with a whole new hatred for blondes But bias I hate all bitches the same baby come on Excuse the pun but bitch is such a broad statement and Im Channelin my anger through every single station thats on Cause a woman broke my heart I say heart Cause she ripped it in two paarts and threw it in the garbage Who you think you aare bitch Guess its time for me to get the dust off and pick myself up off the carpet But Ill never say the L word again I lolololo lesbian Aaahhh I hope you hear this song and go into a cardiac arrest My lifed be so much better if you just  My life would be so much better if youd just drop dead I was layin in bed last night thinkin and this thought just popped in my head And I thought wouldnt shit just be a lot easier if you dropped dead I would feel so much better  Cause you told me youd love me forever bitch that was a lie Now I never wanted someone to die so bad in my fuckin life But fuck it theres other fish in the sea  And Im a have a whale of a time being a single sailor For the night bitch on a scale a One to ten shit I must be the holy grail of Catches hoe I got an Oscar attached to my fuckin name dayla I might hit the club find a chick thats tailor Made for me say fuck it kick some shots back git hammered and nail her These bitches tryin get attached but there failin to latch onto the tail of My bumper theyre scratchin at the back of my trailer Like Im itchin to get hitched yeah Im rich as a bitch But bitches aint shit Id rather leave a bitch in a ditch Bitch you complain when you listen to this But you still throw yourself at me thats what I call pitchin a bitch Thats why Im swingin at these chicks onsite Long as I got a bat and two balls its foul but my dicks on strike So all that love shit is null and void bitch Im a droid I avoid Cupid stupid Wasnt for blow jobs youd be unemployed Oye yoyyoy Man oh man your boyboyboys Gettin sick of these girlsgirlsgirls oink oink oink You fuckin pigs all youre good for is doink doink doink I got 99 problems and a bitch aint one Shes all 99 of em I need a machine gun Ill take em all out I hope you hear this song and go into a cardiac arrest Have a heart attack and just Drop dead and Im a throw a fuckin party after this Cause yes  My life would be so much better if youd just drop dead I was layin in bed last night thinkin and this thought just popped in my head And I thought wouldnt shit just be a lot easier if you dropped dead I would feel so much better  Im just playin bitch you know I love you   
Motionless in White,2012,Infamous,https://www.azlyrics.com/lyrics/motionlessinwhite/fatal.html,Rock\Alternatif,I saw your eyes convincing I saw everything that night You were the quiet actress A flawed masterpiece  So cold our darkest days Sleepless our darkest nights Line after line but love is forever  A beauty bound in cold silver Broken bottles and empty lockets Exhaling bittersweet Your words were laced in gold A gilded memoir engraved into my soul  Do you remember that night you led me astray Do you recall tainting me with your apathy  Encapsulating Mutilated our malice our intoxicated advocating lust for a cause  You walked away that night And instilled virtue A fatal kiss my muse theres nothing I can do for you  Its raining sulphur tonight An anticlimactic procession Yielding an undying uniformed prestige  So cold our darkest days Sleepless our darkest nights Line after line but love is never  Encapsulating Mutilated our malice our intoxicated advocating lust for a cause  You walked away that night And instilled virtue A fatal kiss my muse theres nothing I can do for you  A cordial gaze pierces sending chills down the nape of my porcelain neck My blood runs cold  Please dont forget me Long live that sentiment Please dont forget me These words are all I have  Encapsulating Mutilated our malice our intoxicated advocating lust for a cause  You walked away that night And instilled virtue A fatal kiss my muse theres nothing I can do for you  I saw your eyes Blow the last candle out Recoil finish what weve started For you Ill take this to my grave Forever  Please forgive me for wondering If my love ever truly engraved in your heart Like the finest poetry on concrete Please forgive me for wondering If my love ever truly engraved in your heart Like the finest poetry on concrete Please forgive me for wondering If my love ever truly engraved in your heart Like the finest poetry on concrete   
Eminem,1996,Infinite,https://www.azlyrics.com/lyrics/eminem/infinite.html,rap,Aw yeah Its like this like this its Eminem baby back up in that motherfucking ass Till forever till forever One time for your motherfucking mind we represent the 313 You know what Im saying yo they dont know shit about this For the 96  Ayo my pen and paper cause a chain reaction To get your brain relaxing the zanyacting maniac in action A brainiac in fact son you mainly lack attraction You look insanely wack when just a fraction of my tracks run My rhyming skills got you climbing hills I travel through your mind into your spine like siren drills Im sliming grills of roaches with spray that disinfects and twist the necks of rappers til their spinal column disconnects Put this in decks and check the monologue turn your system up Twist them up and indulge in the marijuana smoke This is the season for noise pollution contamination Examination of more car tunes than animation My lamination of narration Hits a snare and bass in a track for duck rapper interrogation When I declare invasion there aint no time to be staring gazing I turn the stage into a barren wasteland Im infinite  You heard of hell well I was sent from it I went to it serving a sentence for murderin instruments Now Im trying to repent from it But when I hear the beat Im tempted to make another attempt at it Im infinite  Bust it I let the beat commence so I can beat the sense in your elite defense I got some meat to mince a crew to stomp and then two feet to rinse I greet the gents and ladies I spoil loyal fans I foil plans and leave fluids leaking like oil pans My coiled hands around this microphone are lethal One thought in my cerebral is deeper than a Jeep full of people MCs are feeble I came to cause some pandemonium Battle a band of phony MCs and stand the lonely one Imitator intimidator stimulator simulator of data eliminator Theres never been a greater since the burial of Jesus Fuck around and catch all the venereal diseases My thesis will smash a stereo to pieces My a cappella releases classic masterpieces through telekinesis That eases you mentally gently sentimentally instrumentally With entity dementedly meant to be infinite  You heard of hell well I was sent from it I went to it serving a sentence for murderin instruments Now Im trying to repent from it But when I hear the beat Im tempted to make another attempt at it Im infinite  Man I got evidence Im never dense and I been clever ever since My residence was hesitant to do some shit that represents the MO So Im assuming all responsibility Cause theres a monster will in me that always wants to kill MCs Mic nestler slamming like a wrestler Here to make a mess of a lyric smuggling embezzler No one is specialer my skill is intergalactical I get cynical act a fool then I send a crew back to school I never packed a tool or acted cool it wasnt practical Id rather let a tactical tactful track tickle your fancy In fact I cant see or cant imagine A man who aint a lover of beats or a fan of scratching So this is for my family the kid who had a cameo on my last jam Plus the man who never had a plan B Be all you can be cause once you make an instant hit Im tensed a bit and tempted when I see the sins my friends commit Im infinite  You heard of hell well I was sent from it I went to it serving a sentence for murderin instruments Now Im trying to repent from it But when I hear the beat Im tempted to make another attempt at it Im infinite You heard of hell well I was sent from it I went to it serving a sentence for murderin instruments Now Im trying to repent from it But when I hear the beat Im tempted to make another attempt at it Im infinite  95 96 96 And on and on and on and on and on   
Eminem,2005,Curtain Call: The Hits,https://www.azlyrics.com/lyrics/eminem/singforthemoment.html,rap,These ideas are nightmares to white parents Whose worst fear is a child with dyed hair and who likes earrings Like whatever they say has no bearing its so scary in a house that allows no swearing To see him walking around with his headphones blaring Alone in his own zone cold and he dont care Hes a problem child What bothers him all comes out when he talks about His fuckin dad walkin out Cause he just hates him so bad that he blocks him out If he ever saw him again hed probably knock him out His thoughts are whacked hes mad so hes talkin back Talkin black brainwashed from rock and rap He sags his pants dorags and a stocking cap His stepfather hit him so he socked him back and broke his nose His house is a broken home theres no control he just lets his emotions go  Come on Sing with me Sing sing for the year Sing it Sing for the laughter and sing for the tear Come on Sing it with me its just for today Maybe tomorrow the good Lord will take you away  Entertainment is changin intertwinin with gangsters In the land of the killers a sinners mind is a sanctum Holy or unholy only have one homie Only this gun lonely cause dont anyone know me Yet everybody just feels like they can relate I guess words are a motherfucker they can be great Or they can degrade or even worse they can teach hate Its like these kids hang on every single statement we make Like they worship us plus all the stores ship us platinum Now how the fuck did this metamorphosis happen From standin on corners and porches just rappin To havin a fortune no more kissin ass But then these critics crucify you journalists try to burn you Fans turn on you attorneys all want a turn at you To get their hands on every dime you have they want you to lose your mind every time you mad So they can try to make you out to look like a loose cannon Any dispute wont hesitate to produce handguns Thats why these prosecutors wanna convict me strictly just to get me off of these streets quickly But all they kids be listenin to me religiously so Im signin CDs while police fingerprint me Theyre for the judges daughter but his grudge is against me If Im such a fuckin menace this shit doesnt make sense Pete Its all political if my music is literal and Im a criminal how the fuck can I raise a little girl I couldnt I wouldnt be fit to youre full of shit too Guerrera that was a fist that hit you  Come on Sing with me Sing sing for the year Sing it Sing for the laughter and sing for the tear Sing that shit Sing it with me its just for today Maybe tomorrow the good Lord will take you away  They say music can alter moods and talk to you Well can it load a gun up for you and cock it too Well if it can then the next time you assault a dude Just tell the judge it was my fault and Ill get sued See what these kids do is hear about us totin pistols And they want to get one cause they think the shits cool Not knowin we really just protectin ourselves we entertainers Of course the shits affectin our sales you ignoramus But music is reflection of self we just explain it and then we get our checks in the mail Its fucked up aint it How we can come from practically nothing to being able to have any fuckin thing that we wanted Thats why we sing for these kids who dont have a thing Except for a dream and a fuckin rap magazine Who post pinup pictures on their walls all day long Idolize their favorite rappers and know all their songs Or for anyone whos ever been through shit in their lives Till they sit and they cry at night wishin theyd die Till they throw on a rap record and they sit and they vibe Were nothin to you but were the fuckin shit in their eyes Thats why we seize the moment try to freeze it and own it squeeze it and hold it Cause we consider these minutes golden And maybe theyll admit it when were gone Just let our spirits live on through our lyrics that you hear in our songs and we can  Sing with me Sing sing for the year Sing it Sing for the laughter and sing for the tear Come on Sing it with me its just for today Maybe tomorrow the good Lord will take you away  Sing with me Sing sing for the year Sing it Sing for the laughter and sing for the tear Come on Sing it with me its just for today Maybe tomorrow the good Lord will take you away   
Slipknot,1996,Mate.Feed.Kill.Repeat,https://www.azlyrics.com/lyrics/slipknot/donothingbitchslap.html,metal,The system has failed and you have failed with it  No time to care just time to say quotWho gives a shitquot  My mind boils as Ive decided Im through  Fuck your position in life Im taking vengence on you   I break down the walls of the political arena  Cast the vote on FNFAL yeah well be seein ya  protect yourself   I want to put a cap right in your asshole  You step to this youre gonna pass  for a lump of dogshit in the grass  So be on your way and get some class   Bitchslap   Chop down the bigwigs shoot the telelvisions too  My mind boils in life as Ive decided Im through  The guilty of crimes will be hung from the trees  Spit and punches arise from you and me   Sit back and do nothing if thats what you want to do  I will have my reign as king when I take vengence on you   
Justin Bieber,2015,Purpose,https://www.azlyrics.com/lyrics/justinbieber/company.html,pop,Can we we keep keep each other company Maybe we can be be each others company Oh company  Lets set each others lonely nights Be each others paradise Need a picture for my frame Someone to share my reign Tell me what you wanna drink I tell you what I got in mind Oh I dont know your name But I feel like thats gonna change  You aint gotta be my lover for you to call me quotbabyquot Never been around no pressure Aint that serious  Can we we keep keep each other company Maybe we can be be each others company Oh company  It aint about the complications Im all about the elevation We can keep it goin up Oh dont miss out on us Just wanna have a conversation Forget about the obligations Maybe we can stay in touch Oh that aint doin too much  You aint gotta be my lover for me to call you quotbabyquot Never been around no pressure Aint that serious No  Can we we keep keep each other company Maybe we can be be each others company Oh company  Can we be can we be be each others company Be each others company Just be each others company Be each others company  Can we we keep keep each other company Maybe we can be be each others company Oh company   
