Artiste,Annee,Album,Url,Style
Eminem,2011,Straight From The Vault,https://www.azlyrics.com/lyrics/eminem/goat.html,rap
Eminem,2009,Relapse,https://www.azlyrics.com/lyrics/eminem/crackabottle.html,rap
Falling In Reverse,2015,Just Like You,https://www.azlyrics.com/lyrics/fallinginreverse/waitandsee.html,metal
Eminem,2002,The Eminem Show,https://www.azlyrics.com/lyrics/eminem/singforthemoment.html,rap
Justin Bieber,2009,My World,https://www.azlyrics.com/lyrics/justinbieber/onelesslonelygirlfrenchadaptation.html,pop
Slipknot,1999,Slipknot,https://www.azlyrics.com/lyrics/slipknot/prosthetics.html,metal
Mac Miller,2012,Macadelic,https://www.azlyrics.com/lyrics/macmiller/clarity.html,rap
Eminem,2005,Curtain Call: The Hits,https://www.azlyrics.com/lyrics/eminem/cleaninoutmycloset.html,rap
DREAMERS,2018,LAUNCH,https://www.azlyrics.com/lyrics/dreamers/blackwhite.html,Rock/Alternatif
Bring Me The Horizon,2013,Sempiternal,https://www.azlyrics.com/lyrics/bringmethehorizon/shadowmoses.html,metal
Falling In Reverse,2015,Just Like You,https://www.azlyrics.com/lyrics/fallinginreverse/pray.html,metal
Slipknot,2014,.5: The Gray Chapter,https://www.azlyrics.com/lyrics/slipknot/xix.html,metal
Eminem,2014,Shady XV,https://www.azlyrics.com/lyrics/eminem/shadyxv.html,rap
Justin Bieber,2011,Under The Mistletoe,https://www.azlyrics.com/lyrics/justinbieber/christmaseve.html,pop
Justin Bieber,2011,Under The Mistletoe,https://www.azlyrics.com/lyrics/justinbieber/alliwantisyou.html,pop
Post Malone,2019,Hollywood's Bleeding,https://www.azlyrics.com/lyrics/postmalone/staringatthesun.html,rap
Slipknot,2014,.5: The Gray Chapter,https://www.azlyrics.com/lyrics/slipknot/thenegativeone.html,metal
Bring Me The Horizon,2019,amo,https://www.azlyrics.com/lyrics/bringmethehorizon/ouch.html,metal
Eminem,1998,Slim Shady EP,https://www.azlyrics.com/lyrics/eminem/justthetwoofus.html,rap
Bring Me The Horizon,2019,amo,https://www.azlyrics.com/lyrics/bringmethehorizon/mothertongue.html,metal
Post Malone,2016,Stoney,https://www.azlyrics.com/lyrics/postmalone/brokenwhiskeyglass.html,rap
DREAMERS,2016,This Album Does Not Exist,https://www.azlyrics.com/lyrics/dreamers/nevertoolatetodance.html,Rock/Alternatif
Billie Eilish,2017,Dont Smile At Me,https://www.azlyrics.com/lyrics/billieeilish/oceaneyes.html,pop
Falling In Reverse,2013,Fashionably Late,https://www.azlyrics.com/lyrics/fallinginreverse/badgirlsclub.html,metal
Eminem,2014,Shady XV,https://www.azlyrics.comtps://www.azlyrics.com/lyrics/slaughterhouse/psychopathkiller.html,rap
Eminem,2011,Straight From The Vault,https://www.azlyrics.com/lyrics/eminem/itsbeenreal.html,rap
DREAMERS,2016,You Are Here,https://www.azlyrics.com/lyrics/dreamers/drugs.html,Rock/Alternatif
Slipknot,2014,.5: The Gray Chapter,https://www.azlyrics.com/lyrics/slipknot/nomadic.html,metal
Mac Miller,2009,The Jukebox: Prelude To Class Clown,https://www.azlyrics.com/lyrics/macmiller/cruisin.html,rap
Eminem,1999,Slim Shady LP,https://www.azlyrics.com/lyrics/eminem/getyoumad.html,rap
Motionless in White,2007,The Whorror,https://www.azlyrics.com/lyrics/motionlessinwhite/apocolips.html,Rock\Alternatif
Eminem,2013,The Marshall Mathers LP 2,https://www.azlyrics.com/lyrics/eminem/sofar.html,rap
Eminem,2004,Encore,https://www.azlyrics.com/lyrics/eminem/rainman.html,rap
Mac Miller,2011,"I Love Life, Thank You",https://www.azlyrics.com/lyrics/macmiller/justakid.html,rap
Eminem,1999,Slim Shady LP,https://www.azlyrics.com/lyrics/eminem/justdontgiveafuck.html,rap
Mac Miller,2011,Best Day Ever,https://www.azlyrics.com/lyrics/macmiller/oyvey.html,rap
Justin Bieber,2015,Purpose,https://www.azlyrics.com/lyrics/justinbieber/getusedtome.html,pop
Eminem,2005,Curtain Call: The Hits,https://www.azlyrics.com/lyrics/eminem/justloseit.html,rap
Mac Miller,2009,The High Life,https://www.azlyrics.com/lyrics/macmiller/livefree.html,rap
Justin Bieber,2012,Believe,https://www.azlyrics.com/lyrics/justinbieber/outoftowngirl.html,pop
Mac Miller,2010,K.I.D.S.,https://www.azlyrics.com/lyrics/macmiller/goodevening.html,rap
Motionless in White,2014,Reincarnate,https://www.azlyrics.com/lyrics/motionlessinwhite/carrythetorch.html,Rock\Alternatif
Mac Miller,2011,"I Love Life, Thank You",https://www.azlyrics.com/lyrics/macmiller/pranks4players.html,rap
Motionless in White,2010,Creatures,https://www.azlyrics.com/lyrics/motionlessinwhite/scissorhandsthelastsnow.html,Rock\Alternatif
Bring Me The Horizon,2013,Sempiternal,https://www.azlyrics.com/lyrics/bringmethehorizon/sleepwalking.html,metal
Mac Miller,2009,The High Life,https://www.azlyrics.com/lyrics/macmiller/5oclock.html,rap
Eminem,2014,Shady XV,https://www.azlyrics.comtps://www.azlyrics.com/lyrics/yelawolf/down.html,rap
Motionless in White,2017,Graveyard Shift,https://www.azlyrics.com/lyrics/motionlessinwhite/voices.html,Rock\Alternatif
Falling In Reverse,2013,Fashionably Late,https://www.azlyrics.com/lyrics/fallinginreverse/borntolead.html,metal
Post Malone,2018,Beerbongs &amp; Bentleys,https://www.azlyrics.com/lyrics/postmalone/psycho.html,rap
Eminem,1998,Slim Shady EP,https://www.azlyrics.com/lyrics/eminem/noonesillerthanme.html,rap
Mac Miller,2009,The Jukebox: Prelude To Class Clown,https://www.azlyrics.com/lyrics/macmiller/barzfordayz.html,rap
Post Malone,2018,Beerbongs &amp; Bentleys,https://www.azlyrics.com/lyrics/postmalone/sugarwraith.html,rap
Slipknot,2019,We Are Not Your Kind,https://www.azlyrics.com/lyrics/slipknot/insertcoin.html,metal
Justin Bieber,2012,Believe,https://www.azlyrics.com/lyrics/justinbieber/dieinyourarms.html,pop
Justin Bieber,2011,Never Say Never - The Remixes,https://www.azlyrics.com/lyrics/justinbieber/runawayloveremix.html,pop
Justin Bieber,2011,Under The Mistletoe,https://www.azlyrics.com/lyrics/justinbieber/mistletoe.html,pop
Motionless in White,2008,When Love Met Destruction,https://www.azlyrics.com/lyrics/motionlessinwhite/whateveryoudodontpresstheredbutton.html,Rock\Alternatif
Bring Me The Horizon,2006,Count Your Blessings,https://www.azlyrics.com/lyrics/bringmethehorizon/liquorlovelost.html,metal
Mac Miller,2013,Watching Movies With The Sound Off,https://www.azlyrics.com/lyrics/macmiller/objectsinthemirror.html,rap
Justin Bieber,2009,My World,https://www.azlyrics.com/lyrics/justinbieber/favoritegirl.html,pop
Falling In Reverse,2017,Coming Home,https://www.azlyrics.com/lyrics/fallinginreverse/thedeparture.html,metal
Billie Eilish,2017,Dont Smile At Me,https://www.azlyrics.com/lyrics/billieeilish/idontwannabeyouanymore.html,pop
Eminem,2014,Shady XV,https://www.azlyrics.com/lyrics/eminem/diealone.html,rap
Justin Bieber,2015,Purpose,https://www.azlyrics.com/lyrics/justinbieber/nosense.html,pop
Eminem,2017,Revival,https://www.azlyrics.com/lyrics/eminem/walkonwater.html,rap
Post Malone,2018,Beerbongs &amp; Bentleys,https://www.azlyrics.com/lyrics/postmalone/92explorer.html,rap
Mac Miller,2015,GO:OD AM,https://www.azlyrics.com/lyrics/macmiller/inthebag.html,rap
Mac Miller,2012,Macadelic,https://www.azlyrics.com/lyrics/macmiller/lovemeasihavelovedyou.html,rap
Motionless in White,2017,Graveyard Shift,https://www.azlyrics.com/lyrics/motionlessinwhite/soft.html,Rock\Alternatif
Justin Bieber,2013,Journals,https://www.azlyrics.com/lyrics/justinbieber/onelife.html,pop
DREAMERS,2018,FLY,https://www.azlyrics.com/lyrics/dreamers/misfitstshirt.html,Rock/Alternatif
Billie Eilish,2019,"When We All Fall Asleep, Where Do We Go?",https://www.azlyrics.com/lyrics/billieeilish/ilomilo.html,pop
Slipknot,2008,All Hope Is Gone,https://www.azlyrics.com/lyrics/slipknot/deadmemories.html,metal
Bring Me The Horizon,2015,That's The Spirit,https://www.azlyrics.com/lyrics/bringmethehorizon/truefriends.html,metal
Eminem,1999,Slim Shady LP,https://www.azlyrics.com/lyrics/eminem/bitchskit.html,rap
Slipknot,1996,Mate.Feed.Kill.Repeat,https://www.azlyrics.com/lyrics/slipknot/slipknot.html,metal
Bring Me The Horizon,2019,amo,https://www.azlyrics.com/lyrics/bringmethehorizon/freshbruises.html,metal
Motionless in White,2014,Reincarnate,https://www.azlyrics.com/lyrics/motionlessinwhite/reincarnate.html,Rock\Alternatif
Slipknot,1996,Mate.Feed.Kill.Repeat,https://www.azlyrics.com/lyrics/slipknot/dogfishrising.html,metal
Eminem,2002,The Eminem Show,https://www.azlyrics.com/lyrics/eminem/paulrosenbergskit.html,rap
DREAMERS,2019,LAUNCH FLY LAND,https://www.azlyrics.com/lyrics/dreamers/celebrate.html,Rock/Alternatif
Motionless in White,2017,Graveyard Shift,https://www.azlyrics.com/lyrics/motionlessinwhite/loudfuckit.html,Rock\Alternatif
Justin Bieber,2009,My World,https://www.azlyrics.com/lyrics/justinbieber/onetime.html,pop
