Artiste,Annee,Album,Url,Style
Mac Miller,2010,K.I.D.S.,https://www.azlyrics.com/lyrics/macmiller/faceinthecrowd.html,rap
Motionless in White,2008,When Love Met Destruction,https://www.azlyrics.com/lyrics/motionlessinwhite/whateveryoudodontpresstheredbutton.html,rock
Mac Miller,2013,Delusional Thomas,https://www.azlyrics.com/lyrics/macmiller/labido.html,rap
Justin Bieber,2009,My World,https://www.azlyrics.com/lyrics/justinbieber/favoritegirl.html,pop
Post Malone,2018,Beerbongs &amp; Bentleys,https://www.azlyrics.com/lyrics/postmalone/ballforme.html,rap
Eminem,2017,Revival,https://www.azlyrics.com/lyrics/eminem/chloraseptic.html,rap
DREAMERS,2018,LAUNCH,https://www.azlyrics.com/lyrics/dreamers/screws.html,rock
Eminem,2006,Eminem Presents The Re-Up,https://www.azlyrics.com/lyrics/eminem/thereup.html,rap
Bring Me The Horizon,2015,That's The Spirit,https://www.azlyrics.com/lyrics/bringmethehorizon/ohno.html,rock
Billie Eilish,2019,"When We All Fall Asleep, Where Do We Go?",https://www.azlyrics.com/lyrics/billieeilish/whenthepartysover.html,pop
Eminem,2020,Music To Be Murdered By,https://www.azlyrics.com/lyrics/eminem/neverloveagain.html,rap
Motionless in White,2007,The Whorror,https://www.azlyrics.com/lyrics/motionlessinwhite/apocolips.html,rock
Mac Miller,2016,The Divine Feminine,https://www.azlyrics.com/lyrics/macmiller/myfavoritepart.html,rap
Justin Bieber,2009,My World,https://www.azlyrics.com/lyrics/justinbieber/firstdance.html,pop
Slipknot,2014,.5: The Gray Chapter,https://www.azlyrics.com/lyrics/slipknot/skeptic.html,rock
Eminem,2020,Music To Be Murdered By,https://www.azlyrics.com/lyrics/eminem/marsh.html,rap
Eminem,2003,Straight From The Lab,https://www.azlyrics.com/lyrics/eminem/canibitch.html,rap
Justin Bieber,2011,Under The Mistletoe,https://www.azlyrics.com/lyrics/justinbieber/alliwantisyou.html,pop
Mac Miller,2015,GO:OD AM,https://www.azlyrics.com/lyrics/macmiller/breakthelaw.html,rap
Eminem,2013,The Marshall Mathers LP 2,https://www.azlyrics.com/lyrics/eminem/wickedways.html,rap
Justin Bieber,2013,Journals,https://www.azlyrics.com/lyrics/justinbieber/swapitout.html,pop
Eminem,2005,Curtain Call: The Hits,https://www.azlyrics.com/lyrics/eminem/thewayiam.html,rap
Post Malone,2019,Hollywood's Bleeding,https://www.azlyrics.com/lyrics/postmalone/athousandbadtimes.html,rap
Mac Miller,2018,Swimming,https://www.azlyrics.com/lyrics/macmiller/ladders.html,rap
Mac Miller,2016,The Divine Feminine,https://www.azlyrics.com/lyrics/macmiller/we.html,rap
Post Malone,2018,Beerbongs &amp; Bentleys,https://www.azlyrics.com/lyrics/postmalone/zackandcodeine.html,rap
Slipknot,2004,Vol 3: (The Subliminal Verses),https://www.azlyrics.com/lyrics/slipknot/scream.html,rock
Eminem,1998,Slim Shady EP,https://www.azlyrics.com/lyrics/eminem/lowdowndirty.html,rap
Mac Miller,2012,Macadelic,https://www.azlyrics.com/lyrics/macmiller/clarity.html,rap
Bring Me The Horizon,2013,Sempiternal,https://www.azlyrics.com/lyrics/bringmethehorizon/shadowmoses.html,rock
Mac Miller,2009,The High Life,https://www.azlyrics.com/lyrics/macmiller/flyinhernikes.html,rap
Eminem,2013,The Marshall Mathers LP 2,https://www.azlyrics.com/lyrics/eminem/dontfront.html,rap
Motionless in White,2014,Reincarnate,https://www.azlyrics.com/lyrics/motionlessinwhite/wasp.html,rock
Post Malone,2018,Beerbongs &amp; Bentleys,https://www.azlyrics.com/lyrics/postmalone/betternow.html,rap
Eminem,2000,The Marshall Mathers LP,https://www.azlyrics.com/lyrics/eminem/undertheinfluence.html,rap
DREAMERS,2018,FLY,https://www.azlyrics.com/lyrics/dreamers/demons.html,rock
Slipknot,2001,Iowa,https://www.azlyrics.com/lyrics/slipknot/everythingends.html,rock
Post Malone,2016,Stoney,https://www.azlyrics.com/lyrics/postmalone/whiteiverson.html,rap
Mac Miller,2009,The Jukebox: Prelude To Class Clown,https://www.azlyrics.com/lyrics/macmiller/gotaclue.html,rap
Mac Miller,2011,Best Day Ever,https://www.azlyrics.com/lyrics/macmiller/getup.html,rap
Falling In Reverse,2013,Fashionably Late,https://www.azlyrics.com/lyrics/fallinginreverse/fucktherest.html,rock
DREAMERS,2018,FLY,https://www.azlyrics.com/lyrics/dreamers/thelastlovesong.html,rock
Mac Miller,2014,Faces,https://www.azlyrics.com/lyrics/macmiller/itjustdoesntmatter.html,rap
Mac Miller,2020,Circles,https://www.azlyrics.com/lyrics/macmiller/icansee.html,rap
Billie Eilish,2019,"When We All Fall Asleep, Where Do We Go?",https://www.azlyrics.com/lyrics/billieeilish/748832.html,pop
Eminem,2014,Shady XV,https://www.azlyrics.comtps://www.azlyrics.com/lyrics/yelawolf/down.html,rap
Slipknot,1999,Slipknot,https://www.azlyrics.com/lyrics/slipknot/scissors.html,rock
Eminem,2017,Revival,https://www.azlyrics.com/lyrics/eminem/framed.html,rap
Post Malone,2019,Hollywood's Bleeding,https://www.azlyrics.com/lyrics/postmalone/sainttropez.html,rap
Bring Me The Horizon,2015,That's The Spirit,https://www.azlyrics.com/lyrics/bringmethehorizon/run.html,rock
Justin Bieber,2011,Under The Mistletoe,https://www.azlyrics.com/lyrics/justinbieber/santaclausiscomingtotown.html,pop
Eminem,1999,Slim Shady LP,https://www.azlyrics.com/lyrics/eminem/justdontgiveafuck.html,rap
Eminem,2018,Kamikaze,https://www.azlyrics.com/lyrics/eminem/theringer.html,rap
Justin Bieber,2012,Believe,https://www.azlyrics.com/lyrics/justinbieber/allaroundtheworld.html,pop
Justin Bieber,2013,Believe Acoustic,https://www.azlyrics.com/lyrics/justinbieber/yellowraincoat.html,pop
Eminem,2017,Revival,https://www.azlyrics.com/lyrics/eminem/revivalinterlude.html,rap
Motionless in White,2014,Reincarnate,https://www.azlyrics.com/lyrics/motionlessinwhite/generationlost.html,rock
Motionless in White,2017,Graveyard Shift,https://www.azlyrics.com/lyrics/motionlessinwhite/hourglass.html,rock
Eminem,2020,Music To Be Murdered By,https://www.azlyrics.com/lyrics/eminem/premonitionintro.html,rap
Justin Bieber,2013,Believe Acoustic,https://www.azlyrics.com/lyrics/justinbieber/fall286903.html,pop
Eminem,2009,Relapse,https://www.azlyrics.com/lyrics/eminem/paulskit77660.html,rap
Mac Miller,2009,The High Life,https://www.azlyrics.com/lyrics/macmiller/crushinroundtheclock.html,rap
Post Malone,2016,Stoney,https://www.azlyrics.com/lyrics/postmalone/leave.html,rap
Mac Miller,2013,Delusional Thomas,https://www.azlyrics.com/lyrics/macmiller/drthomas.html,rap
Mac Miller,2011,On And On And Beyond,https://www.azlyrics.com/lyrics/macmiller/onandon.html,rap
Justin Bieber,2012,Believe,https://www.azlyrics.com/lyrics/justinbieber/aslongasyouloveme.html,pop
Mac Miller,2012,Macadelic,https://www.azlyrics.com/lyrics/macmiller/angelswhensheshutshereyes.html,rap
Mac Miller,2014,Faces,https://www.azlyrics.com/lyrics/macmiller/happybirthday.html,rap
Justin Bieber,2015,Purpose,https://www.azlyrics.com/lyrics/justinbieber/lifeisworthliving.html,pop
Slipknot,2004,Vol 3: (The Subliminal Verses),https://www.azlyrics.com/lyrics/slipknot/vermilionterrydatemix.html,rock
Eminem,2014,Shady XV,https://www.azlyrics.com/lyrics/eminem/rightforme.html,rap
Motionless in White,2019,Disguise,https://www.azlyrics.com/lyrics/motionlessinwhite/c0de.html,rock
DREAMERS,2014,Dreamers,https://www.azlyrics.com/lyrics/dreamers/nolove.html,rock
Mac Miller,2011,Blue Slide Park,https://www.azlyrics.com/lyrics/macmiller/maninthehat.html,rap
Eminem,2004,Encore,https://www.azlyrics.com/lyrics/eminem/paulskit42776.html,rap
Justin Bieber,2012,Believe,https://www.azlyrics.com/lyrics/justinbieber/beautyandabeat.html,pop
Mac Miller,2018,Swimming,https://www.azlyrics.com/lyrics/macmiller/conversationpt1.html,rap
Mac Miller,2011,"I Love Life, Thank You",https://www.azlyrics.com/lyrics/macmiller/ilovelifethankyou.html,rap
Mac Miller,2013,Watching Movies With The Sound Off,https://www.azlyrics.com/lyrics/macmiller/gees.html,rap
Slipknot,2008,All Hope Is Gone,https://www.azlyrics.com/lyrics/slipknot/sulfur.html,rock
Motionless in White,2019,Disguise,https://www.azlyrics.com/lyrics/motionlessinwhite/headache.html,rock
Slipknot,2001,Iowa,https://www.azlyrics.com/lyrics/slipknot/metabolic.html,rock
Eminem,2006,Eminem Presents The Re-Up,https://www.azlyrics.com/lyrics/eminem/publicenemy1.html,rap
Mac Miller,2014,Faces,https://www.azlyrics.com/lyrics/macmiller/avemaria.html,rap
Eminem,2010,Recovery,https://www.azlyrics.com/lyrics/eminem/sobad.html,rap
Slipknot,2004,Vol 3: (The Subliminal Verses),https://www.azlyrics.com/lyrics/slipknot/theopiumofthepeople.html,rock
Justin Bieber,2015,Purpose,https://www.azlyrics.com/lyrics/justinbieber/nopressure.html,pop
DREAMERS,2016,You Are Here,https://www.azlyrics.com/lyrics/dreamers/comedownslow.html,rock
